,inner_x,inner_y,outer_x,outer_y
182,-178.55809257887435,-35.73524275269691,-180.52400293792775,-23.89737147192323
183,-179.54458185227216,-35.899068615951364,-181.51049221132556,-24.061197335177674
184,-180.53107112566994,-36.062894479205816,-182.4969814847234,-24.225023198432126
185,-181.51756039906775,-36.22672034246027,-183.48347075812114,-24.388849061686575
186,-182.50404967246558,-36.39054620571471,-184.46996003151898,-24.552674924941023
187,-183.4905389458634,-36.55437206896917,-185.4564493049168,-24.716500788195482
188,-184.4770282192612,-36.71819793222362,-186.4429385783146,-24.880326651449927
189,-185.463517492659,-36.88202379547807,-187.4294278517124,-25.04415251470438
190,-186.45000676605682,-37.04584965873252,-188.4159171251102,-25.20797837795883
191,-187.43649603945462,-37.20967552198697,-189.40240639850802,-25.371804241213283
192,-188.42298531285243,-37.373501385241426,-190.38889567190583,-25.53563010446773
193,-189.4094745862502,-37.53732724849587,-191.37538494530367,-25.699455967722187
194,-190.39596385964805,-37.70115311175033,-192.36187421870144,-25.86328183097664
195,-191.38245313304589,-37.86497897500478,-193.34836349209922,-26.027107694231084
196,-192.36894240644367,-38.02880483825923,-194.33485276549706,-26.190933557485533
197,-193.35543167984144,-38.19263070151367,-195.3213420388949,-26.35475942073999
198,-194.34192095323925,-38.35645656476813,-196.3078313122927,-26.518585283994447
199,-195.32841022663706,-38.52028242802258,-197.29432058569046,-26.68241114724889
200,-196.31489950003493,-38.684108291277035,-198.28080985908827,-26.846237010503337
201,-197.3013887734327,-38.84793415453147,-199.2672991324861,-27.01006287375779
202,-198.28787804683049,-39.01176001778593,-200.25378840588394,-27.17388873701225
203,-199.27436732022832,-39.17558588104039,-201.24027767928172,-27.337714600266697
204,-200.26085659362613,-39.339411744294836,-202.22676695267953,-27.501540463521142
205,-201.24734586702394,-39.50323760754928,-203.21325622607733,-27.665366326775597
206,-202.23383514042172,-39.66706347080373,-204.19974549947517,-27.82919219003005
207,-203.22032441381955,-39.83088933405819,-205.18623477287295,-27.99301805328451
208,-204.2068136872174,-39.994715197312644,-206.17272404627073,-28.156843916538946
209,-205.19330296061517,-40.15854106056709,-207.15921331966857,-28.320669779793395
210,-206.17979223401298,-40.322366923821534,-208.14570259306637,-28.48449564304785
211,-207.1662815074108,-40.486192787075986,-209.13219186646418,-28.6483215063023
212,-208.15277078080857,-40.65001865033043,-210.11868113986196,-28.812147369556747
213,-209.13926005420637,-40.81384451358489,-211.10517041325983,-28.975973232811207
214,-210.1257493276042,-40.97767037683934,-212.0916596866576,-29.13979909606566
215,-211.11223860100202,-41.1414962400938,-213.07814896005542,-29.303624959320107
216,-212.09872787439983,-41.305322103348246,-214.06463823345322,-29.467450822574552
217,-213.0852171477976,-41.46914796660269,-215.05112750685106,-29.631276685829008
218,-214.07170642119544,-41.63297382985715,-216.03761678024884,-29.795102549083467
219,-215.05819569459328,-41.7967996931116,-217.02410605364662,-29.958928412337904
220,-216.04468496799106,-41.96062555636605,-218.01059532704446,-30.122754275592353
221,-217.0311742413888,-42.124451419620485,-218.99708460044232,-30.286580138846812
222,-218.01766351478668,-42.28827728287496,-219.98357387384007,-30.450406002101275
223,-219.0041527881845,-42.4521031461294,-220.97006314723785,-30.614231865355706
224,-219.9906420615823,-42.61592900938385,-221.9565524206357,-30.778057728610165
225,-220.9771313349801,-42.7797548726383,-222.9430416940335,-30.941883591864617
226,-221.9636206083779,-42.94358073589275,-223.9295309674313,-31.10570945511907
227,-222.95010988177572,-43.10740659914721,-224.9160202408291,-31.269535318373517
228,-223.9365991551735,-43.27123246240165,-225.90250951422695,-31.433361181627966
229,-224.9230884285713,-43.43505832565611,-226.8889987876247,-31.597187044882425
230,-225.90957770196914,-43.59888418891056,-227.87548806102254,-31.761012908136866
231,-226.89606697536695,-43.76271005216501,-228.86197733442035,-31.92483877139133
232,-227.88255624876476,-43.92653591541946,-229.84846660781815,-32.088664634645774
233,-228.86904552216257,-44.090361778673916,-230.83495588121596,-32.25249049790023
234,-229.8555347955604,-44.25418764192837,-231.82144515461374,-32.41631636115467
